检查项,状态,详情
power_long_raw 重复时间戳,PASS,无重复
power_mw 负值,PASS,0 行
power_mw 显著超容量（>1%）,WARN,49 行（14 行>1%，训练时有物理裁剪兜底）
capacity_mw <= 0,PASS,0 行
站点名称为空,PASS,0 行
经纬度为空,WARN,"56928 行，涉及站点 ['S115', 'S116']（需在报告中注明）"
同一站点容量多值,PASS,所有站点容量唯一
train/valid 时间不重叠,PASS,
valid/test 时间不重叠,PASS,
test/future 时间不重叠,PASS,
test 时间固定为 2025-09-01~2025-12-31,PASS,实际: 2025-09-01 00:00:00 ~ 2025-12-31 23:00:00
future 样本存在但不参与指标,PASS,"future 148,104 行（独立保留）"
pred 文件中的后处理列,INFO,"存在: ['power_mw', 'power_pred', 'split', 'power_pred_cal', 'g_blend_pred', 'p_on_pred', 'rel_error_pred']（用于评估，OK）"
power_clean 包含训练泄漏列,PASS,无泄漏列
